	HUMAN	ANTI_P	ANTI_H	ANTI_F	ANTI_B
Mielichhoferia	0	0	0	0	0
Racomitrium	0	0	0	0	0
Lyellia	0	0	0	0	0
Pogonatum	1	0	0	0	0
Pottia	0	0	0	0	0
Syntrichia	0	0	0	1	1
Tetraplodon	0	0	0	0	0
Aponogeton	1	0	0	0	0
Butomus	0	0	0	0	0
Hydrilla	1	0	0	0	1
Najas	0	0	0	0	0
Orontium	0	0	0	0	0
Potamogeton	0	0	0	1	1
Spirodela	1	0	1	1	1
Tofieldia	0	0	0	0	0
Zantedeschia	1	0	0	0	1
Cnidium	1	1	1	1	1
Daucus	1	0	0	1	1
Panax	1	1	0	1	1
Ilex	1	0	0	1	1
Aphandra	0	0	0	0	0
Balaka	0	0	0	0	0
Borassus	1	1	1	1	1
Calyptrocalyx	0	0	0	0	0
Caryota	1	0	0	1	1
Chamaerops	1	0	0	0	0
Chambeyronia	0	0	0	0	0
Elaeis	1	1	0	1	1
Hydriastele	0	0	0	0	0
Iriartea	1	0	0	0	0
Manicaria	0	0	0	0	0
Nypa	1	0	0	0	1
Phoenix	0	0	0	0	0
Phytelephas	0	0	0	0	0
Ravenea	0	0	0	0	0
Sabal	0	0	0	0	0
Trithrinax	0	0	0	0	0
Washingtonia	1	0	0	0	0
Agapanthus	1	0	0	1	0
Allium	1	1	1	1	1
Androstephium	0	0	0	0	0
Anemarrhena	1	0	0	1	1
Aphyllanthes	1	0	0	0	0
Asparagus	1	1	0	1	1
Beaucarnea	0	0	0	0	0
Behnia	1	0	0	0	0
Blandfordia	0	0	0	0	0
Bowiea	1	0	1	1	1
Cephalanthera	0	0	0	0	0
Corallorhiza	1	0	0	0	0
Cordyline	1	0	0	1	1
Dasylirion	0	0	0	0	0
Dendrobium	1	0	0	0	0
Dichelostemma	0	0	0	0	0
Doryanthes	0	0	0	0	0
Echeandia	0	0	0	0	0
Eriospermum	0	0	0	0	0
Eucharis	0	0	0	0	0
Haworthia	0	0	0	0	0
Isophysis	0	0	0	0	0
Kniphofia	0	0	0	0	0
Lanaria	0	0	0	0	0
Ledebouria	0	0	0	0	0
Liriope	1	0	0	0	0
Lycoris	1	1	0	0	1
Muscari	0	0	0	1	0
Oncidium	0	0	0	0	0
Phalaenopsis	0	0	0	0	0
Phormium	1	0	0	0	0
Polianthes	1	0	0	0	1
Rhodohypoxis	0	0	0	0	0
Scadoxus	1	0	0	0	0
Trichopetalum	0	0	0	0	0
Triteleia	0	0	0	0	0
Wullschlaegelia	0	0	0	0	0
Xanthorrhoea	0	0	0	0	0
Xeronema	0	0	0	0	0
Ambrosia	1	0	0	1	1
Antennaria	0	0	0	0	0
Artemisia	1	1	1	1	1
Dahlia	0	0	0	1	1
Diaspasis	0	0	0	0	0
Diplostephium	1	0	0	0	0
Goodenia	0	0	0	0	0
Helianthus	1	1	1	1	1
Heliopsis	0	0	0	0	0
Hymenopappus	0	0	0	0	0
Lactuca	1	1	0	0	1
Liatris	0	0	0	0	0
Nymphoides	1	0	1	0	0
Platycodon	1	0	0	1	1
Ratibida	1	0	0	0	0
Rudbeckia	0	0	0	0	0
Senecio	0	0	0	0	0
Thelesperma	1	0	0	0	0
Tragopogon	1	0	0	1	1
Austrobaileya	0	0	0	0	0
Ehretia	1	1	0	0	0
Oreocarya	0	0	0	0	0
Arabidopsis	0	0	0	1	1
Arabis	0	0	0	0	1
Brassica	1	0	0	1	1
Carica	1	1	1	1	1
Conringia	0	0	0	0	0
Lepidium	0	0	0	0	0
Salvadora	0	0	0	0	0
Schrenkiella	0	0	0	0	0
Tarenaya	0	0	0	0	0
Thlaspi	1	1	0	1	0
Cinnamodendron	0	0	0	0	0
Takhtajania	0	0	0	0	0
Amaranthus	0	0	0	0	0
Beta	1	0	0	0	1
Chenopodium	1	0	0	1	1
Delosperma	0	0	0	0	0
Ercilla	0	0	0	0	0
Fallopia	1	0	0	0	0
Halophytum	0	0	0	0	0
Limonium	1	0	0	0	0
Persicaria	1	0	0	0	1
Reynoutria	1	0	0	0	1
Rheum	1	0	0	1	1
Rumex	1	0	0	0	1
Sarcobatus	0	0	0	0	0
Silene	1	0	0	0	1
Canotia	0	0	0	0	0
Dicarpellum	0	0	0	0	0
Lepuropetalon	0	0	0	0	0
Mortonia	0	0	0	0	0
Parnassia	0	0	0	0	0
Plagiopteron	0	0	0	0	0
Stackhousia	0	0	0	0	0
Tripterococcus	0	0	0	0	0
Zinowiewia	0	0	0	0	0
Ceratophyllum	0	0	0	0	0
Anigozanthos	0	0	0	0	0
Eichhornia	1	0	0	0	0
Anisophyllea	0	0	0	0	0
Begonia	1	1	1	1	1
Citrullus	1	1	1	1	1
Corallocarpus	0	0	0	0	0
Coriaria	1	0	0	0	1
Cucumis	1	0	1	1	1
Datisca	1	1	0	1	1
Ecballium	1	0	0	1	1
Lagenaria	1	1	1	1	1
Marah	0	0	0	0	0
Octomeles	1	0	0	0	0
Symbegonia	0	0	0	0	0
Tetrameles	1	1	0	0	0
Xerosicyos	0	0	0	0	0
Aletris	1	0	0	0	0
Apteria	0	0	0	0	0
Burmannia	0	0	0	0	0
Cymbocarpa	0	0	0	0	0
Dioscorea	1	0	1	1	1
Gymnosiphon	0	0	0	0	0
Haplothismia	0	0	0	0	0
Hexapterella	0	0	0	0	0
Lophiola	0	0	0	0	0
Metanarthecium	0	0	0	0	0
Tacca	1	0	0	1	0
Dipsacus	1	0	0	0	0
Actinidia	1	0	0	1	1
Androsace	0	0	0	0	0
Arbutus	0	0	0	0	0
Calluna	1	0	1	0	1
Camellia	1	1	1	1	1
Ceratiola	0	0	0	1	1
Chamaedaphne	1	0	0	0	0
Clethra	0	0	0	0	0
Cosmelia	0	0	0	0	0
Cyrilla	0	0	0	0	0
Dracophyllum	0	0	0	0	0
Gaultheria	0	0	0	0	0
Gilia	0	0	0	0	0
Impatiens	1	0	0	0	0
Maesa	1	0	0	0	0
Manilkara	1	0	0	1	1
Monotropastrum	0	0	0	0	0
Prionotes	0	0	0	0	0
Rhododendron	1	0	0	0	1
Schima	0	0	0	0	0
Styrax	0	0	0	0	0
Vaccinium	1	0	1	1	1
Ammopiptanthus	0	0	0	0	1
Apios	0	0	0	0	0
Arachis	1	1	1	1	1
Astragalus	1	0	0	0	0
Cajanus	1	1	1	1	1
Chamaecrista	0	0	0	0	0
Cicer	1	0	1	1	1
Erythrina	1	1	0	1	1
Glycine	1	1	0	0	1
Ladeania	0	0	0	0	0
Lupinus	1	0	1	1	1
Medicago	0	0	0	0	0
Mezoneuron	0	0	0	0	0
Phaseolus	1	1	0	1	1
Polygala	0	0	0	0	0
Senna	1	1	1	1	1
Vigna	1	0	1	1	1
Wisteria	0	0	0	0	0
Zenia	0	0	0	0	0
Betula	1	1	0	1	1
Carya	1	0	0	0	0
Fagus	1	0	0	0	1
Nothofagus	0	0	0	0	0
Quercus	1	1	1	1	1
Garrya	0	0	0	0	0
Asclepias	0	0	0	0	0
Calotropis	1	1	1	1	1
Eustoma	0	0	0	0	0
Exochaenium	0	0	0	0	0
Luculia	1	0	0	0	0
Neolamarckia	1	0	1	1	1
Ophiorrhiza	0	0	0	0	0
Pentas	1	1	0	1	1
Psychotria	0	0	0	0	0
Pycnosphaera	0	0	0	0	0
Rhazya	1	1	1	1	1
Rogiera	0	0	0	0	0
Schinziella	0	0	0	0	0
Schultesia	0	0	0	0	0
Spigelia	1	1	1	0	1
Voyria	0	0	0	0	0
Voyriella	0	0	0	0	0
Geranium	1	0	0	1	1
Perrottetia	0	0	0	0	0
Tapiscia	0	0	0	0	0
Nothapodytes	1	1	1	1	1
Andrographis	1	1	1	1	1
Avicennia	1	1	1	1	1
Calceolaria	0	0	0	1	1
Conopholis	0	0	0	0	0
Dorcoceras	0	0	0	0	0
Erythranthe	0	0	0	0	0
Fraxinus	1	0	1	1	1
Hesperelaea	0	0	0	0	0
Lindernia	1	0	0	0	0
Mazus	1	0	0	1	1
Melampyrum	0	0	0	0	0
Monarda	1	0	0	1	1
Nepeta	1	0	1	1	1
Olea	1	1	1	1	1
Paulownia	0	1	0	0	1
Perilla	1	0	0	0	1
Phryma	0	0	0	0	0
Phtheirospermum	0	0	0	0	0
Pogostemon	1	1	1	1	1
Rehmannia	1	0	1	0	0
Salvia	1	0	0	1	1
Schizonepeta	1	0	0	0	1
Schlegelia	0	0	0	0	0
Scrophularia	1	0	0	0	0
Sesamum	1	1	1	1	1
Tectona	1	1	1	1	1
Teucrium	1	0	0	0	0
Torenia	0	0	0	0	0
Utricularia	0	0	0	0	0
Beilschmiedia	0	0	0	0	0
Cassytha	1	1	0	0	1
Cinnamomum	1	1	1	1	1
Cryptocarya	0	0	0	0	0
Doryphora	0	1	0	0	0
Hedycarya	1	0	0	0	0
Hortonia	0	0	0	0	0
Palmeria	0	0	0	0	0
Persea	0	0	0	1	1
Calochortus	0	0	0	0	0
Campynema	0	0	0	0	0
Colchicum	1	0	0	0	0
Corsia	NA	NA	NA	0	NA
Gloriosa	1	1	1	1	1
Lilium	0	0	0	0	0
Petermannia	0	0	0	0	0
Rhipogonum	0	0	0	0	0
Trillium	1	0	0	0	0
Horsfieldia	1	0	0	0	0
Knema	1	0	0	0	0
Myristica	1	1	1	1	1
Bhesa	0	0	0	0	0
Calophyllum	1	1	0	1	1
Carallia	1	0	0	1	1
Endospermum	1	0	0	0	0
Euphorbia	1	0	1	0	1
Flacourtia	1	0	0	1	1
Hevea	0	0	1	0	1
Humiria	0	1	0	1	0
Hypericum	1	1	1	1	1
Ixonanthes	1	0	0	0	0
Jatropha	1	1	1	1	1
Linum	1	1	0	1	1
Parinari	1	0	0	0	0
Plukenetia	1	0	0	0	1
Populus	1	0	1	1	1
Quiina	0	0	0	0	0
Ricinus	1	1	1	1	1
Rinorea	0	0	0	0	0
Tristellateia	0	0	0	0	0
Viola	0	0	0	0	0
Anisoptera	0	0	0	0	0
Aquilaria	1	0	0	0	0
Callirhoe	0	0	0	1	0
Gossypium	1	1	1	1	1
Grewia	1	0	0	1	1
Hibiscus	1	0	0	1	1
Sphaeralcea	0	0	0	0	0
Eucalyptus	1	1	1	1	1
Oenothera	1	0	0	0	1
Osbeckia	1	0	0	1	1
Psidium	1	0	0	0	0
Punica	1	1	1	1	1
Sonneratia	1	0	0	0	1
Trapa	1	0	0	1	1
Nymphaea	1	1	0	0	0
Afrostyrax	0	0	0	0	0
Averrhoa	1	0	1	1	1
Connarus	0	0	0	0	0
Elaeocarpus	0	0	0	0	0
Hua	1	0	0	0	0
Oxalis	1	1	1	1	1
Platytheca	0	0	0	0	0
Acanthochlamys	0	0	0	0	0
Andruris	0	0	0	0	0
Carludovica	0	0	0	0	0
Freycinetia	0	0	0	0	0
Kihansia	0	0	0	0	0
Ludovia	0	0	0	0	0
Pandanus	0	0	0	0	0
Pentastemona	0	0	0	0	0
Sciaphila	1	0	0	0	0
Seychellaria	0	0	0	0	0
Stemona	1	0	1	1	1
Talbotia	0	0	0	0	0
Triuris	0	0	0	0	0
Paracryphia	0	0	0	0	0
Piper	0	0	0	0	0
Saruma	1	0	0	1	1
Aegilops	0	0	0	0	0
Alloteropsis	0	0	0	0	0
Ananas	1	1	1	1	1
Brachiaria	0	0	0	0	0
Brachypodium	0	0	0	0	0
Cenchrus	0	0	0	0	0
Chasechloa	0	0	0	0	0
Ecdeiocolea	0	0	0	0	0
Elegia	0	0	0	0	0
Guzmania	0	0	0	0	0
Hordeum	1	1	0	0	1
Mayaca	0	0	0	0	0
Oropetium	0	0	0	0	0
Oryza	1	0	0	1	1
Saccharum	1	1	0	0	1
Sorghum	1	0	0	1	1
Sparganium	0	0	0	0	0
Sporobolus	1	1	0	0	0
Triticum	1	0	1	1	1
Zea	1	1	1	1	1
Macadamia	0	0	0	0	0
Nelumbo	1	1	1	1	1
