	BG0602	BG0702	BG0716	BG0728	BP0701	BP0719	CK0702	CK0705	CK0713	CK0717	LM0708	LM0709	LM0710	LM0711	LM0716	MK0710	MK0713	MK0718	MK0727	MK0729	PL0703	PL0708	PL0710	PU0601	PU0612	PU0614	PU0733	PU0754	PU0756	PU0791	TK0601	TK0702	TK0704	TK0705	TK0711	TK0712	TK0713	UL0708	UL0718	UL0720	PU0725B	PU0737B	AN0716	AS0701b	AS0702	BG0710A	BG0715	BG0727	BG0736	BP0717	BT0701	CK0707	CK0708A	LM0705	MK0721	MK0725	PL0702A	PU0718A	PU0723A	PU0724	PU0726	PU0740A	TK0706	UL0722
Schrenkiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tarenaya	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	51	0	0	21	0	0	0	0	0	0	0	0	0
Thlaspi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cinnamodendron	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Takhtajania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amaranthus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	123	0	0	0	0	0	0	0	0	1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chenopodium	0	0	0	0	0	0	0	6	69	0	0	0	0	7	0	0	0	0	0	0	0	688	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	180	0
Delosperma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercilla	14	20	0	0	0	0	0	0	0	6	0	41	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	19	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Fallopia	112	0	0	12	195	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	6	0	14	15	51	0	6	62	0	0	0	0	0	0	0	0	6	0	174	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Halophytum	9	9	0	0	0	0	0	0	0	0	0	15	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limonium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0
Persicaria	56	0	0	43	289	303	433	6	0	10	0	0	0	10	41	0	0	150	0	0	10	405	26	0	0	0	0	0	85	0	0	109	0	34	0	0	0	0	22	0	0	0	0	68	0	0	0	6	14	143	0	144	0	0	0	1202	0	0	0	0	34	0	0	0
Reynoutria	0	0	0	0	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
Rheum	32540	1996	1960	26550	154081	141783	39795	1519	535	11193	306	953	1406	3141	23473	0	250	34244	125	0	7202	117942	29943	0	348	417	1501	0	239	272	29	15582	0	5912	190	902	0	422	8055	342	0	0	436	1537	998	1596	453	1636	5145	71018	0	13389	447	10	0	302495	406	27	0	0	0	0	64	0
Rumex	0	0	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	16	0	0	0	0	0	0	0	0
Sarcobatus	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silene	43	10	0	0	239	10	0	18	54	0	0	39	13	50	0	0	0	0	0	0	8	558	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	192	2677	6	0	0	9	41	0	0	0	0	343	19	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Canotia	25	0	0	0	0	0	0	0	0	0	0	69	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	74	6	0	0	0	0	0	0	0	0	7	0	0	0	0	43	30	0	13	0	0	0	36	0	0	0	0	0	0	0	0
Dicarpellum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepuropetalon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Mortonia	25	0	0	0	0	0	0	0	0	0	0	41	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	42	0	0	0	0	0	0	0	0	0	161	0	0	0	0	7	624	0	0	0	0	15	10	6	0	0	0	0	0	0	0
Parnassia	0	0	0	116	0	0	0	140	131	0	0	90	39	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	65	0	0	0	0	0	0	0	0	0	0	0
Plagiopteron	0	0	0	0	0	0	0	0	0	0	78	393	113	21	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stackhousia	134	27	0	60	110	102	96	0	31	15	92	304	13	0	172	0	0	164	0	0	0	119	29	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	19	45	0	14	0	14	16	963	0	0	0	0	0	0	0	0
Tripterococcus	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	14	0	0	0	0	0	0	0	0	0	0	0
Zinowiewia	152	28	0	0	0	0	34	11	0	7	0	213	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	0	0	6	11	0	0	0	0	20	0	12	0	18	102	114	0	15	0	12	0	28	0	0	0	0	0	0	0	0
Ceratophyllum	126	12	0	0	0	0	9	12	0	13	0	197	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	11	0	0	0	16	156	30	0	17	0	36	0	0	0	0	0	0	0	6	0	0
Anigozanthos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eichhornia	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anisophyllea	0	0	0	0	0	0	0	8	170	0	0	0	0	0	0	0	0	7	0	0	14	3133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	7	0
Begonia	0	13	0	0	20	10	0	0	0	0	50	0	115	0	9	0	0	8	0	0	0	9	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	337	0	0	0	0	0	0	0	0
Citrullus	0	14	0	0	26	14	0	51	0	17	24	0	6	0	32	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	27	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	39	0	412	0	0	0	0	0	0	0	0	0
Corallocarpus	0	0	0	0	15	0	0	30	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	169	0	189	0	0	0	0	0	0	0	6	0
Coriaria	73	0	0	61	307	289	85	0	0	95	0	0	20	38	173	0	9	107	0	0	16	239	53	0	0	0	0	0	0	0	0	53	0	16	0	0	0	0	14	0	0	0	0	0	0	9	0	0	14	245	0	58	0	0	0	2241	0	0	0	0	0	0	0	0
Cucumis	244	162	12	83	837	2862	91	1043	0	96	11203	988	328	3349	1672	81	0	37	0	34	0	289	24	20	9	42	41	0	47	0	1432	36	38	311	122	32	100	3410	119	988	0	0	20	40	0	0	0	85	43	1810	13	168	850	0	700	1469	97134	0	0	0	0	212	751	2478
Datisca	0	0	0	0	12	0	0	20	0	0	0	6	0	0	27	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	36	22	0	0	0	10	0	45	7	0	0	0	0	0	0	0	0
Ecballium	0	0	0	0	0	0	0	16	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	69	0	0	0	0	0	0	0	0	0
Lagenaria	0	6	0	18	44	13	0	47	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	8	24	7	0	0	54	0	624	0	0	0	0	0	0	0	17	0
Marah	28	17	13	41	389	10904	91	78	0	30	8	64	14	51	392	13	0	26	0	38	0	199	26	0	0	0	0	0	0	0	183	16	31	29	0	49	0	0	16	20	0	0	0	0	0	0	0	35	13	2276	0	11	66	0	805	1120	8	0	0	0	0	0	0	0
Octomeles	0	5369	51	6576	74485	11725	3160	85715	8698	24325	3869	435	3477	2290	8070	339	212	565	15	29585	0	906	0	0	0	0	0	40	0	0	743	783	5335	1102	1981	57795	38	735	949	305	1951	0	0	0	630	0	0	12935	14428	2739	0	3178	105370	0	428005	811	1090	0	199	0	0	0	10045	1155
Symbegonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetrameles	0	34	0	46	700	91	14	321	18	61	18	9	8	8	213	73	0	0	0	35	0	11	0	0	0	0	0	0	0	0	220	0	23	0	38	545	9	0	27	0	9	0	0	0	0	0	0	90	65	188	0	14	442	0	1946	2046	70	0	0	0	0	0	36	26
Xerosicyos	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	166	0	0	0	0	0	0	0	0	0
Aletris	0	0	0	0	0	18	0	0	0	0	0	0	0	0	11	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	0	0	764	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apteria	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burmannia	0	0	0	17	0	0	0	0	0	0	0	90	0	37	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	122	24	0	0	0	0	0	0	17	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cymbocarpa	0	0	0	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dioscorea	0	0	0	0	0	0	9	0	0	0	0	10	0	9	6	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	111	0	0	138	0	86	0	0	0	34	0	0	0	7	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gymnosiphon	0	0	0	0	0	0	53	50	0	0	0	18	0	112	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	31	0	313	466	28	13	0	0	0	0	0	0	0	86	0	0	0	0	18	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haplothismia	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hexapterella	0	0	0	0	0	0	0	0	0	0	99	7180	0	42298	40	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lophiola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metanarthecium	0	0	0	0	7	37	11087	0	114	52	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	7	8	0	6	6	86	0	0	0	315	0	0	0	0	0	1181	0	772	16	0	0	0	8	0	0	0	0	0	0	0
Tacca	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	20	0	0	0	0	0	32	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Dipsacus	0	0	0	0	7	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Actinidia	176	38	17	127	801	526	127	0	7	51	0	0	0	11	127	0	0	114	0	0	16	759	86	0	0	12	19	0	0	24	0	132	0	52	0	0	0	9	101	0	0	0	0	0	0	10	0	22	22	655	0	66	0	0	0	3722	0	0	0	0	0	0	0	0
Androsace	0	0	0	0	22	45	0	0	0	0	0	63	0	0	60	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	468	0	19	0	0	0	37	0	0	0	0	0	0	0	268	0	126	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Arbutus	325	34	0	58	612	425	68	23	52	19	0	72	36	22	29	0	0	37	0	0	0	657	26	0	0	0	12	0	0	0	0	43	0	82	57	97	0	75	220	0	0	0	0	0	0	0	0	14	0	270	0	24	48	0	11	2495	75	0	0	0	0	0	0	0
Calluna	8	0	0	0	28	23	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	48	0	0	0	0	0	0	0	0
Camellia	0	0	0	0	199	102	0	0	31	0	0	0	0	0	0	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	95	71	0	0	0	0	0	0	0	0	0	125	0	0	8	0	0	798	0	0	0	0	0	0	0	0
Ceratiola	13	34	0	159	69	245	195	0	0	90	12	44	67	13	124	0	0	19	0	0	0	96	39	0	0	0	0	0	0	0	0	48	31	0	6	64	8	0	189	0	0	6	0	0	0	0	0	0	34	22	0	146	0	0	0	396	307	0	0	0	0	0	0	0
Chamaedaphne	26	0	0	9	67	206	18	0	0	0	6	0	0	0	12	0	0	17	0	0	0	274	22	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	0	6	0	0	0	168	0	0	0	0	0	0	0	0
Clethra	0	9	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cosmelia	18	3928	0	12	71	32	7	0	0	0	0	0	0	7	46	0	0	13	0	0	0	29	10	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	347	34	0	0	0	0	0	103	0	0	0	0	0	0	0	0
Cyrilla	0	0	0	0	0	195	0	0	0	0	0	7	1961	41	6	0	0	61	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dracophyllum	275	27	0	88	692	203	144	0	0	19	0	9	0	35	113	0	0	133	0	0	16	207	63	0	0	9	20	0	0	0	0	91	0	96	0	0	0	0	40	0	0	0	0	0	0	0	0	11	20	374	0	53	8	0	0	4361	0	0	0	0	0	0	0	0
Gaultheria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Gilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Impatiens	20	0	0	48	60	318	23	25	6	0	0	28	0	6	9	0	0	287	0	0	0	440	8	0	0	0	13	0	0	0	27	11	0	120	0	0	0	0	0	162	0	0	0	8	0	0	0	320	29	822	0	10	62	0	6	94	0	0	0	0	0	0	0	26
Maesa	9	0	0	8	60	43	27	0	0	0	0	0	0	0	9	0	0	10	0	0	0	54	13	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	11	0	0	0	102	0	0	0	0	0	0	0	0
Manilkara	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0
Monotropastrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Prionotes	12	81	4785	1781	95	60	135	26228	0	69	0	868	6133	21128	350	8	0	540	15	16	0	46	0	0	0	31	0	0	0	175	105	0	7	10	0	37	0	0	0	0	0	0	0	0	0	27	0	0	69	483	0	506	103	25	275	611	0	0	0	0	0	0	291	0
Rhododendron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0
Schima	18	31	0	74	253	354	64	93	181	14	0	48	179	11	24	0	0	47	0	0	21	3634	52	0	0	0	0	0	0	0	28	987	19	357	13	0	0	8	39	100	0	0	0	0	0	0	0	24	20	154	0	18	86	0	85	1124	7	0	0	0	0	0	0	0
Styrax	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0
Vaccinium	6	22	27	66	459	149	27	0	0	55	0	0	20	10	9	0	0	34	0	0	210	659	787	0	14	0	14	0	11	13	0	25	0	10	0	0	0	11	9	0	0	0	13	0	0	0	0	0	19	105	0	18	0	0	0	1100	0	0	0	0	0	0	0	0
Ammopiptanthus	12	89	0	8	56	102	21	7	0	12	6	62	12	22	18	9	0	10	16	0	9	39	22	0	0	0	0	0	0	0	0	9	12	48	18	14	0	7	17	48	0	0	0	16	0	0	0	43	6	24	0	21	32	12	9	55	67	0	0	0	0	0	0	0
Apios	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arachis	58	58	37	75	50	195	50	62	0	0	0	92	0	0	10	12990	0	0	0	0	0	238	0	0	0	0	0	0	0	0	81	0	0	115	0	150	0	8328	64066	146950	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	699	0	0	0	0	0	0	1261
Astragalus	0	237	690	2805	39	5229	37	71	0	7	0	28	0	42	0	0	0	0	0	14	113	2516	0	0	0	0	0	99	2290	0	0	221	35	10	0	15	0	0	2921	41	0	0	41	314	0	49	3411	157	61	38	0	376	436	0	0	0	42	10	40	0	22	14	0	38
Cajanus	0	0	7	0	134	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Chamaecrista	13	0	0	0	0	0	30	225	0	0	0	19	0	11	0	0	0	878	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	15	9	9	0	0	0	0	0	0	0	0	0	0	0
Cicer	0	0	0	28	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	9	0	0	0	0	27	0	9	0	0	24	7	0	0	0	6	0	0	29	0	0	6	0	0	33	0	0	0	0	0	0	0	0	0	0	0
Erythrina	0	0	42	0	0	8	0	7	0	0	178	653	0	2213	0	0	28	0	40	1415	0	0	0	0	0	0	0	0	0	0	0	113	882	19900	129	13550	0	0	10	24	0	0	0	546	0	0	0	0	0	0	0	0	100	537	700	0	0	0	0	0	0	0	7075	0
Glycine	0	0	0	0	0	132	39	60	0	0	384	0	0	0	0	0	0	0	0	0	0	640	0	33	0	12	0	0	0	0	0	0	0	29	0	0	0	0	18	98	0	0	8	0	0	0	0	9	7	53	0	9	101	0	0	0	0	0	0	0	0	0	0	0
Ladeania	0	305	55	155	838	46119	401	237	229	0	0	0	0	0	12	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	146	0	309	895	22	41	18	0	137	86	0	0	0	0	0	0	7	0	0	3087	0	1627	156	0	42	0	0	0	0	0	0	0	0	0
Lupinus	0	12	0	0	393	43	0	101	67	51	0	0	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	6	11	0	0	0	0	0	14	11	0	0	0	0	50	0	0	0	0	135	0	0	514	0	0	293	0	0	0	0	0	0	0	0
Medicago	0	105713	119	1233	5927	4513	35769	9273	0	3107	0	0	0	0	0	0	0	0	0	0	15	0	1113	0	0	0	0	0	0	0	0	909	30	68	0	53	0	0	178	17	0	0	0	0	0	237	0	0	1375	6096	0	5967	115	0	0	0	0	0	0	0	0	0	0	0
Mezoneuron	0	0	0	0	37	91	80	0	0	12	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	56	0	0	0	0	0	0	0	0
Phaseolus	0	73	0	0	9	15	28	0	0	0	640	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	39	0	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Polygala	0	0	0	0	174	0	0	65	0	12	0	0	7	0	15	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	43	0	0	0	0	9	0	0	0	0	0	0	6	13	0	0	0	91	0	494	0	0	0	0	0	0	0	7	0
Senna	29	6	0	47	320	208	23	0	0	23	0	0	0	7	41	0	0	19	0	0	26	155	44	0	0	0	0	0	0	0	0	46	0	10	0	0	0	0	8	0	0	0	0	0	0	6	0	0	11	287	0	32	0	0	0	808	0	0	0	0	0	0	0	0
Vigna	20	0	0	133	0	59	2068	100	0	0	0	26	346	606	1267	94	0	25	0	19	40	1803	67	0	154	0	0	0	0	13	378	0	0	0	22	0	0	0	0	0	0	928	0	0	0	0	27	0	0	2602	32	224	777	0	97	230	34	0	0	0	0	0	0	0
Wisteria	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zenia	8	0	0	12	35	24	0	0	0	0	0	0	0	0	14	0	0	19	0	0	0	24	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	41	0	9	0	0	0	150	0	0	0	0	0	0	0	0
Betula	0	0	0	7	35	36	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	11	0	0	0	221	0	0	0	0	0	0	0	0
Carya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
