	Crop
Encalypta	0
Fontinalis	0
Lyellia	0
Pogonatum	0
Syntrichia	0
Timmia	0
Gnetum	0
Selaginella	0
Aponogeton	0
Butomus	0
Hydrilla	0
Najas	0
Orontium	0
Ottelia	0
Pleea	0
Posidonia	0
Potamogeton	0
Spirodela	0
Tofieldia	0
Zantedeschia	0
Zostera	0
Amborella	0
Cicuta	0
Cnidium	0
Conium	0
Daucus	0
Panax	1
Ilex	0
Aphandra	1
Borassus	1
Calyptrocalyx	0
Caryota	0
Chamaerops	0
Elaeis	1
Hydriastele	0
Manicaria	0
Nypa	0
Ravenea	0
Sabal	0
Thrinax	0
Trithrinax	0
Washingtonia	0
Agapanthus	0
Allium	1
Androstephium	0
Aphyllanthes	0
Asparagus	1
Beaucarnea	0
Behnia	0
Blandfordia	0
Bowiea	0
Corallorhiza	0
Dendrobium	0
Dichelostemma	0
Doryanthes	0
Echeandia	0
Eriospermum	0
Eucharis	0
Gilliesia	0
Haworthia	0
Iris	0
Ixiolirion	0
Lanaria	0
Ledebouria	0
Lomandra	0
Lycoris	0
Oncidium	0
Phormium	0
Polianthes	1
Scadoxus	0
Trichopetalum	0
Triteleia	0
Xanthorrhoea	0
Antennaria	0
Artemisia	0
Dahlia	0
Diaspasis	0
Helianthus	1
Nymphoides	0
Platycodon	0
Senecio	0
Tragopogon	0
Austrobaileya	0
Ehretia	0
Arabidopsis	0
Arabis	0
Brassica	1
Carica	1
Chorispora	0
Conringia	0
Lepidium	0
Nasturtium	0
Salvadora	0
Tarenaya	0
Cinnamodendron	0
Takhtajania	0
Amaranthus	0
Beta	1
Chenopodium	1
Ercilla	0
Fallopia	0
Halophytum	0
Limonium	0
Persicaria	0
Reynoutria	0
Rheum	1
Rumex	0
Sarcobatus	0
Silene	0
Triphyophyllum	0
Canotia	0
Mortonia	0
Parnassia	0
Plagiopteron	0
Stackhousia	0
Tripterococcus	0
Zinowiewia	0
Ceratophyllum	0
Anigozanthos	0
Eichhornia	0
Anisophyllea	0
Begonia	0
Citrullus	1
Corallocarpus	0
Coriaria	0
Cucumis	1
Datisca	0
Ecballium	0
Lagenaria	0
Marah	0
Octomeles	0
Symbegonia	0
Tetrameles	0
Xerosicyos	0
Dillenia	0
Aletris	0
Apteria	0
Burmannia	0
Cymbocarpa	0
Dioscorea	1
Gymnosiphon	0
Haplothismia	0
Hexapterella	0
Metanarthecium	0
Tacca	0
Thismia	0
Dipsacus	0
Actinidia	0
Androsace	0
Arbutus	0
Calluna	0
Camellia	1
Ceratiola	0
Chamaedaphne	0
Clethra	0
Cosmelia	0
Cyrilla	0
Dracophyllum	0
Impatiens	0
Maesa	0
Manilkara	1
Primula	0
Prionotes	0
Schima	0
Styrax	0
Ternstroemia	0
Vaccinium	1
Ammopiptanthus	0
Apios	0
Arachis	1
Astragalus	0
